Pøehled operací pro portfolio"základní OÚ: xxxxx"
Vytvoøeno: 20.02.2026 18:22:21
Období: 1.1.2025 - 31.12.2025













Datum obchodu;Smìr;Symbol;Cena;Poèet;Mìna;Objem v CZK;Poplatky v CZK;Objem v USD;Poplatky v USD;Objem v EUR;Poplatky v EUR;Text FIO;
30.12.2025 00:00;;IUSA;1,00;24,72;EUR;;;;;24,72;0,00;IUSA - Distribuce výnosu rùstového fondu;
29.12.2025 00:00;;META;1,00;-0,79;USD;;;-0,79;0,00;;;META - Daò z divid. zaplacená v USA;
29.12.2025 00:00;;META;1,00;5,25;USD;;;5,25;0,00;;;META - Dividenda - USA;
24.12.2025 00:00;;MDYG;1,00;-0,64;USD;;;-0,64;0,00;;;MDYG - Daò z divid. zaplacená v USA;
24.12.2025 00:00;;MDYG;1,00;4,28;USD;;;4,28;0,00;;;MDYG - Dividenda - USA;
15.12.2025 00:00;;SCHB;1,00;-0,54;USD;;;-0,54;0,00;;;SCHB - Daò z divid. zaplacená v USA;
15.12.2025 00:00;;SCHB;1,00;3,61;USD;;;3,61;0,00;;;SCHB - Dividenda - USA;
15.12.2025 00:00;;O;1,00;-14,80;USD;;;-14,80;0,00;;;O - Daò z divid. zaplacená v USA;
15.12.2025 00:00;;O;1,00;98,64;USD;;;98,64;0,00;;;O - Dividenda - USA;
15.12.2025 00:00;;GOOGL;1,00;-1,29;USD;;;-1,29;0,00;;;GOOGL - Daò z divid. zaplacená v USA;
15.12.2025 00:00;;GOOGL;1,00;8,61;USD;;;8,61;0,00;;;GOOGL - Dividenda - USA;
15.12.2025 00:00;;MSF;1,00;15,79;EUR;;;;;15,79;0,00;MSF - Dividenda SRN - po zdanìní;
10.12.2025 00:00;;PYPL;1,00;-2,94;USD;;;-2,94;0,00;;;PYPL - Daò z divid. zaplacená v USA;
10.12.2025 00:00;;PYPL;1,00;19,60;USD;;;19,60;0,00;;;PYPL - Dividenda - USA;
24.11.2025 17:24;Nákup;NVO;44,73;7,00;USD;;;-321,06;7,95;;;Nákup;
14.11.2025 16:52;Nákup;VVSM;51,14;95,00;EUR;;;;;-4 868,25;9,95;Nákup;
14.11.2025 16:38;Nákup;PYPL;64,1087143;140,00;USD;;;-8 985,17;9,95;;;Nákup;
14.11.2025 16:18;Nákup;EEFT;69,7826;50,00;USD;;;-3 497,08;7,95;;;Nákup;
14.11.2025 16:15;Prodej;NVO;48,18088;125,00;USD;;;6 012,51;10,10;;;Prodej;
14.11.2025 16:13;Prodej;PYPL;63,81;73,00;USD;;;4 650,07;8,06;;;Prodej;
14.11.2025 16:12;Prodej;STLA;10,42;135,00;USD;;;1 404,66;2,04;;;Prodej;
14.11.2025 16:12;Prodej;STLA;10,42;37,00;USD;;;377,57;7,97;;;Prodej;
14.11.2025 00:00;;O;1,00;-16,01;USD;;;-16,01;0,00;;;O - Daò z divid. zaplacená v USA;
14.11.2025 00:00;;O;1,00;106,72;USD;;;106,72;0,00;;;O - Dividenda - USA;
13.11.2025 09:49;Prodej;P911;46,98;105,00;EUR;;;;;4 922,95;9,95;Prodej;
13.11.2025 00:00;;BTI;1,00;-2,68;USD;;;-2,68;0,00;;;BTI - ADR Fee;
13.11.2025 00:00;;BTI;1,00;211,25;USD;;;211,25;0,00;;;BTI - Dividenda - USA;
07.11.2025 16:40;Nákup;DUOL;196,72;8,00;USD;;;-1 581,71;7,95;;;Nákup;
07.11.2025 16:25;Prodej;O;56,6766667;30,00;USD;;;1 692,30;8,00;;;Prodej;
29.10.2025 13:55;Prodej;BAACEZ;1 285,00;50,00;CZK;64 015,12;234,88;;;;;Prodej;
